Month,Day,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Feb,20,7,1,2,10,18,11,15,8,15,1,7,11,3,9,11,8,7,8,1,16,14,8,1,16,9,10,7,18,9,9,7,8,9,8,17,17,1,11,7,8,7,3,1,10,11,15,9,1,8,14,3,11,9,14,8,14,9,15,1,3,9,15,10,14,9,15,3,14,15,3
Feb,21,15,1,11,8,8,9,7,8,8,8,8,8,11,9,11,16,1,10,8,8,17,8,17,14,9,19,8,14,1,1,11,10,16,9,17,11,9,8,1,3,10,3,9,9,18,7,17,17,9,14,9,3,1,17,9,17,17,10,9,3,10,11,16,10,3,7,1,17,15,1
Feb,22,7,1,10,8,11,8,7,11,8,1,8,10,10,3,14,10,15,11,8,14,9,7,16,14,9,11,8,15,1,1,11,8,1,3,7,9,9,1,1,3,14,8,3,2,14,7,14,17,3,12,9,3,15,16,15,11,11,3,9,1,9,17,5,9,9,16,17,3,11,1
Feb,23,1,17,14,10,8,11,1,8,8,8,10,14,1,1,7,10,11,8,8,11,1,8,17,14,9,17,1,1,17,9,17,10,3,18,17,1,3,9,9,9,17,1,8,1,14,7,14,9,7,11,3,9,8,8,2,3,3,9,3,1,3,3,8,3,9,10,1,7,9,7
Feb,24,7,8,8,1,17,11,17,3,8,1,8,11,1,1,10,1,8,10,7,8,1,10,16,8,1,16,18,1,17,8,9,1,1,14,9,17,9,18,17,16,17,9,17,1,14,3,15,7,17,11,17,7,1,7,14,14,9,1,7,16,1,1,10,7,17,9,3,1,3,8
Feb,25,15,17,17,8,8,8,8,10,1,15,8,11,8,8,8,11,17,7,1,8,9,10,14,7,9,14,16,15,17,3,8,1,14,17,10,11,1,11,8,11,7,3,9,16,12,7,8,9,8,1,8,1,8,7,14,11,1,1,15,14,11,7,1,15,1,3,10,1,7,3
Feb,26,17,11,8,8,17,1,11,7,2,14,3,17,8,17,1,9,10,11,17,9,8,15,8,14,3,7,8,8,17,7,7,3,3,8,2,11,1,11,8,17,7,7,10,8,17,1,15,8,8,8,1,1,3,9,8,11,9,3,15,17,8,14,11,15,1,3,10,3,3,1
Feb,27,8,11,7,10,8,11,8,1,1,8,9,17,1,8,8,1,9,10,17,3,7,8,7,14,2,7,15,14,17,7,9,17,15,7,15,17,3,8,1,17,7,7,10,17,17,8,17,9,15,10,1,1,11,7,3,17,9,15,8,8,9,14,16,3,14,1,8,7,1,3
Feb,28,8,17,7,1,10,14,1,1,15,3,1,8,17,11,8,10,15,10,17,1,2,8,16,14,17,14,14,14,8,15,7,9,15,17,15,10,3,9,17,17,1,15,16,8,8,1,8,3,10,3,17,9,1,1,3,9,7,10,9,1,3,14,11,17,14,8,1,10,8,2
Feb,29,9,,,,15,,,,11,,,,5,,,,17,,,,16,,,,10,,,,8,,,,15,,,,10,,,,17,,,,1,,,,18,,,,3,,,,7,,,,1,,,,14,,,,3,
Mar,1,3,7,1,8,11,14,9,18,14,2,16,17,15,1,10,8,16,11,8,8,14,7,14,10,8,8,14,14,8,16,1,1,14,17,15,8,7,9,8,1,10,8,14,10,1,1,9,1,15,3,17,8,17,16,3,3,1,8,17,8,1,11,8,1,14,10,1,10,7,17
Mar,2,9,2,1,8,14,11,3,8,11,16,8,17,8,8,7,8,14,8,8,7,14,15,14,9,10,15,14,15,3,14,1,8,14,17,14,1,9,9,3,10,15,3,10,8,9,15,8,3,14,1,8,10,10,17,1,12,1,8,8,10,10,10,7,9,11,10,14,8,2,3
Mar,3,9,14,1,10,11,17,3,11,14,15,8,8,16,9,7,15,8,8,2,1,8,1,14,1,2,11,17,10,1,11,2,9,17,10,9,16,14,9,1,1,16,16,8,1,8,10,10,3,10,17,9,14,3,9,3,13,9,11,10,8,8,10,11,8,10,16,18,8,15,17
Mar,4,17,10,18,10,8,17,9,15,8,15,8,17,10,1,3,14,9,9,2,14,3,9,7,8,15,9,9,3,1,17,17,9,8,9,7,14,1,9,7,16,11,10,17,18,17,15,8,7,8,17,1,8,8,8,3,17,18,8,1,10,8,7,10,1,17,11,10,8,10,8
